domain,nr_of_mlists,nr_of_localparts
mb.kcom.ne.jp,3,3
mb.softbank.co.jp,2,3
mc.alcatel.de,1,1
mcd.alcatel.be,1,2
mcd.yh.nec.co.jp,1,1
mcgraw-hill.com,1,1
mch.siemens.de,12,32
mci.co.uk,6,11
mciworld.com,1,1
mcl.kaist.ac.kr,1,1
mcs.abk.nec.co.jp,3,4
mcs.mt.nec.co.jp,1,1
mcs.net,2,2
mcs.ts.fujitsu.co.jp,1,1
mctel.net,1,1
mcubeworks.com,1,1
mdc.nec.fr,8,9
meadowcom.com,7,7
mediatek.com,42,139
mef-rd.com,6,11
mef.mee.com,1,1
megisto.com,4,5
mentt.nl,3,3
merl.com,1,1
mesaqin.com,1,1
mete.mee.com,1,1
metro.telecom.samsung.co.kr,2,2
microsoft.com,11,21
microwavevision.com,1,1
miel.mot.com,2,3
migasia.com,2,2
mindspeed.com,1,2
mindspring.com,1,1
mindtree.com,1,1
mitaka.ntt-at.co.jp,1,1
mitel.com,1,1
mitre.org,1,2
mlab.yrp.nttdocomo.co.jp,4,5
mmce.mee.com,6,8
mmd.yrp.nttdocomo.co.jp,2,2
mml.yrp.nttdocomo.co.jp,2,2
mn.ntts.co.jp,1,1
mob.ntc.co.jp,4,7
mobile-mind.com,4,4
mobile.datang.com,2,6
mobile.node.nttcom.co.jp,1,1
mobilitynetworks.com,1,2
mobilkom.at,3,3
mobitellanka.com,1,1
montrouge.sema.slb.com,1,1
moosburger.de,1,1
morpho.com,7,8
mot.com,2,2
motorola.com,54,338
motorolasolutions.com,24,65
movik.com,1,1
movik.net,1,1
mqf.biglobe.ne.jp,1,1
ms.alcatel.fr,1,1
msd.ts.fujitsu.co.jp,2,3
msj.biglobe.ne.jp,4,4
msn.com,1,1
mt.ncos.nec.co.jp,2,2
mtb.biglobe.ne.jp,1,1
mtigroup.com,2,2
mtk.com.tw,1,1
mtn.co.za,1,1
muj.biglobe.ne.jp,1,1
mva.biglobe.ne.jp,1,1
mvb.biglobe.ne.jp,1,1
mvc.biglobe.ne.jp,1,1
mvg-us.com,3,3
mvg-world.com,4,4
mw.3com.com,1,1
mwc.biglobe.ne.jp,1,1
nate.com,1,1
naver.com,1,1
nbnco.com.au,1,1
ncos.nec.co.jp,1,1
ncs.gov,1,1
ncsc.gov.uk,1,2
ndr.cesg.gov.uk,2,2
nec.cn,3,5
nec.com,5,5
nec.com.au,2,3
necam.com,2,2
neclab.eu,16,28
nectech.co.uk,12,20
nectech.fr,13,25
nellymoser.com,1,1
nemergent-solutions.com,2,2
neomagic.com,1,1
netas.com.tr,1,1
netcommwireless.com,1,1
netflix.com,1,1
nethawk.exfo.com,1,2
nethawkgroup.com,1,7
netlab.hcltech.com,1,1
netlab.nec.de,8,13
netmagic.com,1,1
netscape.net,1,1
nettest.com,1,1
neul.com,4,8
neustar.biz,4,4
newpostcom.com.cn,1,2
newstep.com,1,1
nexcom.fr,1,2
nextnav.com,8,15
nextwave.com,5,6
ni.com,3,4
nice.etri.re.kr,3,3
nifty.ne.jp,1,2
nii.com,6,6
nim.yrp.nttdocomo.co.jp,2,4
nist.gov,13,14
nkom.no,2,2
nl.ibm.com,2,2
nmp.nokia.com,8,11
noida.hcltech.com,3,3
nokia-bell-labs.com,15,19
nokia-sbell.com,7,9
nokia.com,80,745
nomor.de,4,6
non.keysight.com,4,4
nordicsemi.no,3,5
nortel.com,22,69
nortelnetworks.com,17,100
northstream.se,4,7
notesmail.huawei.com.cn,1,1
novamint.com,5,5
nrj.ericsson.se,5,6
nsf.ncos.nec.co.jp,1,1
nsn.com,29,167
nt.tuwien.ac.at,1,1
ntac.gov.uk,1,1
ntac.gsi.gov.uk,1,2
ntc.nokia.com,5,8
nteczone.com,2,2
ntes.nec.co.jp,1,1
ntia.doc.gov,3,4
ntia.gov,2,2
ntlworld.com,2,2
ntt-at.co.jp,6,7
nttcom.co.jp,3,3
nttdocomo.co.jp,22,91
nttdocomo.com,36,128
nus.edu.sg,2,2
nvidia.com,2,3
nvisiblenetworks.com,2,2
nw.neclab.eu,8,11
nw.ntts.co.jp,1,1
nw.yrp.nttdocomo.co.jp,3,9
nxp.com,7,7
nyu.edu,1,1
o2.com,20,34
o2.com.tr,2,3
oberthur.com,3,4
obj-sys.com,1,1
obsoft.com,2,2
occstrategy.com,1,1
octasic.com,1,1
odgers.com,1,1
oki.co.jp,1,1
oki.com,4,6
omeshnet.cn,5,6
omeshnet.com,3,3
omnipoint-corp.com,2,2
omnipoint-pcs.com,5,5
omnispace.com,1,1
omnitel.it,2,2
omnitelvodafone.it,2,3
omnitor.se,4,4
one2many.eu,14,14
one2one.co.uk,3,5
one2one.net,2,3
onemediallc.com,1,1
oneplus.com,1,1
online.ie,1,1
opdev.yrp.nttdocomo.co.jp,2,2
opencloud.com,1,2
openet.com,5,6
openwave.com,7,21
oppo.com,32,90
optimizedtech.net,2,3
oracle.com,7,15
orange-ft.com,8,9
orange-ftgroup.com,14,60
orange.co.il,1,1
orange.co.th,1,1
orange.co.uk,8,13
orange.com,52,106
orange.fr,4,4
orangefrance.com,3,5
orga-test.com,3,3
orgio.net,1,1
outlook.com,14,25
ove.at,1,1
pabrown.fsnet.co.uk,4,4
packetvideo.com,1,1
paconsulting.com,1,1
paguo.net,1,1
panasonic-pmdc.co.uk,2,4
panasonic.de,5,7
panasonicmobile.co.uk,8,14
pantech.com,1,2
paran.com,1,1
partner.samsung.com,21,22
pathcom.ca,1,1
pathfinderwireless.com,4,4
pccrd.fc.nec.co.jp,1,2
pcs.bls.com,2,2
pctest.com,7,7
pctestlab.com,2,3
peratonlabs.com,4,4
perspectalabs.com,14,16
pgi.com,1,1
philips.com,24,53
picochip.com,1,1
piworks.net,1,1
pmc-sierra.com,2,2
po.ntts.co.jp,2,2
polarisnetworks.net,1,1
polariswireless.com,4,9
politie.nl,4,4
politiet.no,1,1
polizei.niedersachsen.de,1,1
poliziadistato.it,1,1
polycom.co.il,1,1
pop.tuwien.ac.at,1,1
pop21.odn.ne.jp,1,1
popsmail.com,2,2
post.pl,1,1
potevio.com,1,1
prl.research.philips.com,6,9
probasco.mobi,5,5
probus-gmbh.de,2,2
promote.nttcom.co.jp,3,3
proximus.com,1,1
proximus.net,1,2
psc-europe.eu,1,1
psl.com.sg,3,6
psytechnics.com,1,1
ptc.sony.co.jp,1,1
ptinovacao.pt,7,12
ptl.yh.nec.co.jp,2,5
pts.se,2,2
pub.tdscdma.com,2,4
public.bta.net.cn,1,1
public3.bta.net.cn,2,2
puloli.com,1,1
pvnetsolutions.com,1,1
pwav.com,2,2
q.com,4,4
qca.qualcomm.com,1,1
qorvo.com,1,1
qosound.com,4,4
qq.com,1,1
qti.qualcomm.com,69,373
qualcomm.com,32,195
racalinst.co.uk,1,1
racalinstruments.com,5,6
radcom.com,1,1
radiolinja.fi,1,1
radioscape.com,4,5
radisys.com,2,2
radvision.com,2,3
rakuten.com,4,5
raleigh.ibm.com,1,1
rc.bel.alcatel.be,1,1
rci.rogers.com,11,21
rcn.com,1,1
rcs.sel.de,1,2
rd.bbc.co.uk,6,7
rd.francetelecom.com,12,25
rd.francetelecom.fr,9,15
rdf.renesas.com,4,6
real.com,2,8
rediffmail.com,1,2
redknee.com,1,1
redtechnologies.fr,1,1
regtp.de,3,5
renesas.com,1,1
renesasmobile.com,21,51
research.att.com,2,3
research.kpn.com,1,1
research.nokia.com,4,6
research.telcordia.com,4,8
rfi-global.com,1,1
rfi-srtc.com,2,2
ri.gdt.com.cn,1,1
ril.com,5,7
rim.com,26,113
rim.net,9,16
ritt.cn,3,4
riwsg.com,2,2
rogers.com,4,4
rohde-schwarz.com,24,95
roke.co.uk,13,44
roninwireless.com,1,1
rsa.rohde-schwarz.com,3,3
rsch.comm.mot.com,1,1
rsd.rohde-schwarz.com,11,32
rsf.rohde-schwarz.com,1,1
rsuk.rohde-schwarz.com,2,3
rtbf8.art.alcatel.fr,1,1
ruckuswireless.com,3,5
rumneytelecom.com,4,4
runel.net,1,1
s.ttc.or.jp,1,1
s1.docomo-tech.co.jp,1,1
s1.nttdocomo.co.jp,8,16
s1.nttdocomo.com,2,5
sa.erisoft.se,1,1
saankhyalabs.com,4,4
safrangroup.com,5,6
sagem-orga.com,6,7
sagem.com,4,6
sal.siemens.de,4,12
samsung.co.kr,6,9
samsung.com,65,408
sandvine.com,7,8
sasi.com,4,14
sasken.com,16,63
sateliot.space,2,2
satimo.com,1,1
satixfy.com,1,1
satyam.com,1,1
sbb.ch,8,8
sbell.com.cn,1,1
sdtm.online.sh.cn,3,5
